26年1月1日;创 1-3
26年1月2日;创 4-7
26年1月3日;创 8-11
26年1月4日;伯 1-5
26年1月5日;伯 6-9
26年1月6日;伯 10-13
26年1月7日;伯 14-16
26年1月8日;伯 17-20
26年1月9日;伯 21-23
26年1月10日;伯 24-28
26年1月11日;伯 29-31
26年1月12日;伯 32-34
26年1月13日;伯 35-37
26年1月14日;伯 38-39
26年1月15日;伯 40-42
26年1月16日;创 12-15
26年1月17日;创 16-18
26年1月18日;创 19-21
26年1月19日;创 22-24
26年1月20日;创 25-26
26年1月21日;创 27-29
26年1月22日;创 30-31
26年1月23日;创 32-34
26年1月24日;创 35-37
26年1月25日;创 38-40
26年1月26日;创 41-42
26年1月27日;创 43-45
26年1月28日;创 46-47
26年1月29日;创 48-50
26年1月30日;出 1-3
26年1月31日;出 4-6
26年2月1日;出 7-9
26年2月2日;出 10-12
26年2月3日;出 13-15
26年2月4日;出 16-18
26年2月5日;出 19-21
26年2月6日;出 22-24
26年2月7日;出 25-27
26年2月8日;出 28-29
26年2月9日;出 30-32
26年2月10日;出 33-35
26年2月11日;出 36-38
26年2月12日;出 39-40
26年2月13日;利 1-4
26年2月14日;利 5-7
26年2月15日;利 8-10
26年2月16日;利 11-13
26年2月17日;利 14-15
26年2月18日;利 16-18
26年2月19日;利 19-21
26年2月20日;利 22-23
26年2月21日;利 24-25
26年2月22日;利 26-27
26年2月23日;民 1-2
26年2月24日;民 3-4
26年2月25日;民 5-6
26年2月26日;民 7
26年2月27日;民 8-10
26年2月28日;民 11-13
26年3月1日;民 14-15,诗 90
26年3月2日;民 16-17
26年3月3日;民 18-20
26年3月4日;民 21-22
26年3月5日;民 23-25
26年3月6日;民 26-27
26年3月7日;民 28-30
26年3月8日;民 31-32
26年3月9日;民 33-34
26年3月10日;民 35-36
26年3月11日;申 1-2
26年3月12日;申 3-4
26年3月13日;申 5-7
26年3月14日;申 8-10
26年3月15日;申 11-13
26年3月16日;申 14-16
26年3月17日;申 17-20
26年3月18日;申 21-23
26年3月19日;申 24-27
26年3月20日;申 28-29
26年3月21日;申 30-31
26年3月22日;申 32-34,诗 91
26年3月23日;书 1-4
26年3月24日;书 5-8
26年3月25日;书 9-11
26年3月26日;书 12-15
26年3月27日;书 16-18
26年3月28日;书 19-21
26年3月29日;书 22-24
26年3月30日;士 1-2
26年3月31日;士 3-5
26年4月1日;士 6-7
26年4月2日;士 8-9
26年4月3日;士 10-12
26年4月4日;士 13-15
26年4月5日;士 16-18
26年4月6日;士 19-21
26年4月7日;得
26年4月8日;撒上 1-3
26年4月9日;撒上 4-8
26年4月10日;撒上 9-12
26年4月11日;撒上 13-14
26年4月12日;撒上 15-17
26年4月13日;撒上 18-20,诗 11,59
26年4月14日;撒上 21-24
26年4月15日;诗 7,27,31,34,52
26年4月16日;诗 56,120,140-142
26年4月17日;撒上 25-27
26年4月18日;诗 17,35,54,63
26年4月19日;撒上 28-31,诗 18,代上 10
26年4月20日;诗 121,123-125,128-130
26年4月21日;撒下 1-4
26年4月22日;诗 6,8-10,14,16,19,21
26年4月23日;代上 1-2
26年4月24日;诗 43-45,49,84-85,87
26年4月25日;代上 3-5
26年4月26日;诗 73,77-78
26年4月27日;代上 6
26年4月28日;诗 81,88,92-93
26年4月29日;代上 7-10
26年4月30日;诗 102-104
26年5月1日;撒下 5:10,代上 11-12
26年5月2日;诗 133
26年5月3日;诗 106-107
26年5月4日;撒下 5:11-6:23,代上 13-16
26年5月5日;诗 1-2,15,22-24,47,68
26年5月6日;诗 89,96,100-101,105,132
26年5月7日;撒下 7,代上 17
26年5月8日;诗 25,29,33,36,39
26年5月9日;撒下 8-9,代上 18
26年5月10日;诗 50,53,60,75
26年5月11日;撒下 10,代上 19,诗 20
26年5月12日;诗 65-67,69-70
26年5月13日;撒下 11-12,代上 20
26年5月14日;诗 32,51,86,122
26年5月15日;撒下 13-15
26年5月16日;诗 3-4,12-13,28,55
26年5月17日;撒下 16-18
26年5月18日;诗 26,40,58,61-62,64
26年5月19日;撒下 19-21
26年5月20日;诗 5,38,41-42
26年5月21日;撒下 22-23,57
26年5月22日;诗 95,97-99
26年5月23日;撒下 24,代上 21-22,诗 30
26年5月24日;诗 108-110
26年5月25日;代上 23-25
26年5月26日;诗 131,138-139,143-145
26年5月27日;代上 26-29,诗 127
26年5月28日;诗 111-118
26年5月29日;王上 1-2,诗 37,71,94
26年5月30日;诗 119:1-88
26年5月31日;王上 3-4,代下 1,诗 72
26年6月1日;诗 119:89-176
26年6月2日;歌
26年6月3日;箴 1-3
26年6月4日;箴 4-6
26年6月5日;箴 7-9
26年6月6日;箴 10-12
26年6月7日;箴 13-15
26年6月8日;箴 16-18
26年6月9日;箴 19-21
26年6月10日;箴 22-24
26年6月11日;王上 5-6,代下 2-3
26年6月12日;王上 7,代下 4
26年6月13日;王上 8,代下 5
26年6月14日;代下 6-7,诗 136
26年6月15日;诗 134,146-150
26年6月16日;王上 9,代下 8
26年6月17日;箴 25-26
26年6月18日;箴 27-29
26年6月19日;传 1-6
26年6月20日;传 7-12
26年6月21日;王上 10-11,代下 9
26年6月22日;箴 30-31
26年6月23日;王上 12-14
26年6月24日;代下 10-12
26年6月25日;王上 15:1-24,代下 13-16
26年6月26日;王上 15:25-16:34,代下 17
26年6月27日;王上 17-19
26年6月28日;王上 20-21
26年6月29日;王上 22,代下 18
